taxon_concept_id,rank,ancestors_taxon_concepts_ids,preferred_scientific_names,preferred_common_names,hierarchy_entry_id,resource_name,content_provider_name,identifier
1,"","","","",,,,
7,kingdom,"","","en:Animalia Linn.,en:Animals,en:Metazoa,en:opisthokonts",,,,
"","","","","",2,3i database: Typhlocybinae,,""
"","","","","",19,3i database: Typhlocybinae,,casent0129891
"","","","","",20,3i database: Typhlocybinae,,casent0496198
"","","","","",21,3i database: Typhlocybinae,,casent0179524
"","","","","",22,3i database: Typhlocybinae,,13646
"","","","","",23,3i database: Typhlocybinae,,9551
"","","","","",25,3i database: Typhlocybinae,,33154
8,"",7,"","en:Autrecusandaees repudiandaeica Linnaeus,en:ravenous clover",,,,
"","","","","",3,3i database: Typhlocybinae,,""
9,"","7,8","","en:Nihileri voluptasus G. D'Amore,en:red suntus",,,,
"","","","","",4,3i database: Typhlocybinae,,""
10,"","7,8,9","","en:Dignissimosii inutes R. Bergstrom,en:darning needle",,,,
"","","","","",5,3i database: Typhlocybinae,,""
11,"","7,8,9,10","","en:Fugais utharumatus L.,en:tiger",,,,
"","","","","",6,3i database: Typhlocybinae,,""
12,"","7,8,9,10,11","","en:Minuseli ullamens Linn,en:Tiger moth",,,,
"","","","","",7,3i database: Typhlocybinae,,""
13,"","7,8,9,10,11","","en:Dignissimosatus nobisosyne R. Cartwright,en:Tiger lilly",,,,
"","","","","",8,3i database: Typhlocybinae,,""
14,"","7,8,9,10,11","","en:tiger,en:Expeditaalia evenietelia L.",,,,
"","","","","",9,3i database: Typhlocybinae,,""
15,"","7,8,9,10,11","",en:Earumeles beataeata Linn.,,,,
"","","","","",10,3i database: Typhlocybinae,,""
16,"","7,8,9,10,11","","en:Culpaensis sapienteesi Linnaeus,en:frizzlebek",,,,
"","","","","",11,3i database: Typhlocybinae,,""
17,"","7,8,9,10,11","","en:Utomnisesi sequialis N. Upton,en:purple dust crab",,,,
"","","","","",12,3i database: Typhlocybinae,,""
18,"","","",en:Autaliquideri minimais L. Carroll,,,,
"","","","","",13,Antkey,,""
"","","","","",14,Antkey,,""
"","","","","",15,Antkey,,13810203
19,"","","","",,,,
"","","","","",16,,,""
20,"","","","en:Etconsequaturelia autenimalia M. Port,en:wumpus",,,,
"","","","","",17,3i database: Typhlocybinae,,""
"","","","","",18,3i database: Typhlocybinae,,20
21,superkingdom,"","","en:Eukaryota S. Posford,en:eukaryotes",,,,
"","","","","",24,3i database: Typhlocybinae,,""
22,"","21,7","","en:Quoautesi natuseri Posford & Ram,en:cloud swallow",,,,
"","","","","",26,3i database: Typhlocybinae,,""
23,"","21,7","","en:Voluptatumeri esseensis L.,en:spiny possom",,,,
"","","","","",27,3i database: Typhlocybinae,,""
24,"","21,7,23","","en:Ameti maioresis Linnaeus,en:common desert mouse",,,,
"","","","","",28,3i database: Typhlocybinae,,""
25,"","21,7,23","","en:Ipsamalius distinctioerox,en:fisher",,,,
"","","","","",29,3i database: Typhlocybinae,,""
