INFO  - 2015-06-28 10:53:44.832; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-06-28 10:53:44.936; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /opt/solr/contexts at interval 0
INFO  - 2015-06-28 10:53:44.951; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /opt/solr/contexts/solr-jetty-context.xml
INFO  - 2015-06-28 10:53:45.092; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/opt/solr/webapps/solr.war!/ to /opt/solr/solr-webapp/webapp
INFO  - 2015-06-28 10:53:47.375; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-06-28 10:53:47.484; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-06-28 10:53:47.542; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-06-28 10:53:47.542; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-06-28 10:53:47.543; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-06-28 10:53:47.698; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr/solr/solr.xml
INFO  - 2015-06-28 10:53:47.991; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /opt/solr/solr
INFO  - 2015-06-28 10:53:48.015; org.apache.solr.core.CoreContainer; New CoreContainer 878002621
INFO  - 2015-06-28 10:53:48.016; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-06-28 10:53:48.446; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-06-28 10:53:48.447; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-06-28 10:53:48.458; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-06-28 10:53:48.464; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-06-28 10:53:48.464; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-06-28 10:53:48.465; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-06-28 10:53:48.465; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-06-28 10:53:48.466; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-06-28 10:53:48.467; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-06-28 10:53:49.145; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-06-28 10:53:49.146; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-06-28 10:53:49.148; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-06-28 10:53:49.205; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /opt/solr/solr
INFO  - 2015-06-28 10:53:49.230; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /opt/solr/solr/collection1/
INFO  - 2015-06-28 10:53:49.230; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-06-28 10:53:49.233; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /opt/solr/solr/collection1
INFO  - 2015-06-28 10:53:49.234; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/solr/collection1/'
INFO  - 2015-06-28 10:53:49.357; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
